Year,Month,Avg_Temperature,Total_Rainfall,State,Crop,Season,NDVI,Baseline_NDVI,NDVI_Anomaly
2023,7,28.126157964650538,21239.01133071775,MP,SB,Kharif,0.4010191506158406,0.43918245234574316,-0.038163301729902566
2023,8,26.996566765508682,8986.935959138074,MP,SB,Kharif,0.6500283523713342,0.565504712398752,0.08452363997258217
2023,9,27.29714694871795,12512.115800052825,MP,SB,Kharif,0.5227375415077631,0.5967565151781452,-0.07401897367038213
2019,10,25.174590227977667,1085.238961450837,MP,WH,Rabi,0.5568106143916628,0.5129942791646434,0.04381633522701944
2019,11,22.665136839423077,176.145649526363,MP,WH,Rabi,0.48409825857429184,0.46728603035997385,0.016812228214317992
2019,12,16.98282298148263,524.827435538967,MP,WH,Rabi,0.5456702649269122,0.5363757684741036,0.009294496452808554
2020,1,16.426625067307693,870.7088181431095,MP,WH,Rabi,0.6364698339642992,0.6221646920727459,0.014305141891553297
2020,2,19.734713519728118,391.3852154804902,MP,WH,Rabi,0.619265278272858,0.5798174109404561,0.03944786733240191
2020,3,24.173611436724567,2172.593959086645,MP,WH,Rabi,0.4144497401364061,0.3658966768720601,0.048553063264346
2020,10,26.689710648263024,158.10625745413304,MP,WH,Rabi,0.451288736098037,0.5129942791646434,-0.06170554306660636
2020,11,21.35264014455128,125.2286667371925,MP,WH,Rabi,0.46407739844885776,0.46728603035997385,-0.003208631911116089
2020,12,18.024429302264267,1229.6084080525,MP,WH,Rabi,0.5130597751632605,0.5363757684741036,-0.02331599331084311
2021,1,18.00315139469603,468.2601341761984,MP,WH,Rabi,0.6104852270440078,0.6221646920727459,-0.011679465028738178
2021,2,21.200415298592034,214.801069433052,MP,WH,Rabi,0.5178259847737047,0.5798174109404561,-0.06199142616675146
2021,3,26.800082043424318,1941.0127280063095,MP,WH,Rabi,0.32461955313615587,0.3658966768720601,-0.04127712373590425
2021,10,25.72903727915633,1441.2652399437695,MP,WH,Rabi,0.5467544484537966,0.5129942791646434,0.03376016928915326
2021,11,21.389803877884617,256.599787131255,MP,WH,Rabi,0.46524940533927417,0.46728603035997385,-0.0020366250206996783
2021,12,17.554501796526054,1406.5542757981666,MP,WH,Rabi,0.5323789100604752,0.5363757684741036,-0.003996858413628401
2022,1,15.809728447580644,513.539436835193,MP,WH,Rabi,0.6200945478897325,0.6221646920727459,-0.0020701441830134337
2022,2,19.97195588581731,58.87842558568,MP,WH,Rabi,0.5724608518777841,0.5798174109404561,-0.0073565590626720745
2022,3,27.16831677884615,577.4707108616163,MP,WH,Rabi,0.35862073734361827,0.3658966768720601,-0.007275939528441855
2022,10,25.069461507382133,3713.410040598577,MP,WH,Rabi,0.4971233177150769,0.5129942791646434,-0.015870961449566456
2022,11,21.25273442621795,0.10348014384000001,MP,WH,Rabi,0.45571905907747173,0.46728603035997385,-0.011566971282502114
2022,12,18.83699174209057,66.42530290367,MP,WH,Rabi,0.5543941237457666,0.5363757684741036,0.018018355271662956
2023,1,16.70474908090364,82.87996313769,MP,WH,Rabi,0.6216091593929445,0.6221646920727459,-0.0005555326798014626
2023,2,21.966378238495878,6.9573579544649995,MP,WH,Rabi,0.6097175288374777,0.5798174109404561,0.029900117897021516
2023,3,24.90528937980769,2660.570176588273,MP,WH,Rabi,0.40788389205500997,0.3658966768720601,0.041987215182949844
2023,10,26.06795644292804,37.48675943857,MP,WH,Rabi,0.5793994721928187,0.5129942791646434,0.06640519302817538
2023,11,22.282608559230766,2300.71778027815,MP,WH,Rabi,0.5070071449434582,0.46728603035997385,0.039721114583484374
2023,12,18.33377023456886,713.547959396841,MP,WH,Rabi,0.5278144360126887,0.5363757684741036,-0.008561332461414883
